Song Name , Artists , Album , Image_Info , Times Played
Self Control , Frank Ocean , Blonde  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526', 'width': 640} ",11
FRIED ," ¥$, Kanye West, Ty Dolla $ign ", VULTURES 2  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273fb9cedd86a3d08dc053a550d', 'width': 640} ",8
The Party & The After Party , The Weeknd , House Of Balloons (Original)  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273274b406a7e18acebcf743079', 'width': 640} ",6
4X4 , Travis Scott , 4X4  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27374bdfbcc73b08c535b4d6564', 'width': 640} ",6
Too Late , The Weeknd , After Hours  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36', 'width': 640} ",6
Stars Align (with Drake) ," Majid Jordan, Drake ", Wildest Dreams  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ecca1386fa4e6b7a947907ef', 'width': 640} ",6
Alone Again , The Weeknd , After Hours (Deluxe)  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ef017e899c0547766997d874', 'width': 640} ",6
Diamond Boy (DTM) , SZA , SOS Deluxe: LANA  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737f5a318e3ff35defa8d0e4af', 'width': 640} ",5
In The Night , The Weeknd , Beauty Behind The Madness  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b', 'width': 640} ",5
No Pole , Don Toliver , Love Sick (Deluxe)  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f5e27c2aa0b110c2b6611577', 'width': 640} ",5
St. Chroma (feat. Daniel Caesar) ," Tyler, The Creator, Daniel Caesar ", CHROMAKOPIA  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273124e9249fada4ff3c3a0739c', 'width': 640} ",5
luther (with sza) ," Kendrick Lamar, SZA ", GNX  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58', 'width': 640} ",5
Missed You - Bonus Track , The Weeknd , After Hours (Deluxe)  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ef017e899c0547766997d874', 'width': 640} ",5
M a k e I t T o T h e M o r n i n g , PARTYNEXTDOOR , PARTYNEXTDOOR 4 (P4)  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27322ac75a1f50440962b7f70e6', 'width': 640} ",4
Brand New , Ben Rector , Brand New  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27368fa87944a95ad7317c00cff', 'width': 640} ",4
TENNESSEE ," Tommy Richman, Trevor Spitta, Zachary Moon ", COYOTE  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273cd721da3f9b44382eae07d72', 'width': 640} ",4
Hours In Silence ," Drake, 21 Savage ", Her Loss  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad', 'width': 640} ",4
Dancing In The Flames , The Weeknd , Dancing In The Flames  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f0e9b93cadbeb4d0227a59eb', 'width': 640} ",4
Stargirl Interlude ," The Weeknd, Lana Del Rey ", Starboy  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452', 'width': 640} ",4
Heartbeat , Childish Gambino , Camp  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736182cfe2e2a090d125c81dc0', 'width': 640} ",4
RICK OWENS (feat. Ken Carson) ," Ufo361, lucidbeatz, Ken Carson ", RICK OWENS (feat. Ken Carson)  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730ebe66ffa71d7331040de174', 'width': 640} ",4
That Should Be Me , Justin Bieber , My World 2.0  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273629dc9e2e3bc20bbd7d92e4a', 'width': 640} ",4
ALL THE LOVE , Katy Perry , 1432  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ddac71a12622bdc7e9d3e795', 'width': 640} ",4
Sports car , Tate McRae , Sports car  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27318a681e1e525405b2f909032', 'width': 640} ",4
MY EX , Baby Keem , DIE FOR MY BITCH  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273683757f1fd40a7f7ef64bec1', 'width': 640} ",4
Angel Numbers / Ten Toes , Chris Brown , 11:11  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27326883cd45415d1c8b05adad1', 'width': 640} ",4
Lost , Frank Ocean , channel ORANGE  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737aede4855f6d0d738012e2e5', 'width': 640} ",4
"GRAVITY (FEAT. TYLER, THE CREATOR) "," Brent Faiyaz, Dahi, Tyler, The Creator ", WASTELAND  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27369f63a842ea91ca7c522593a', 'width': 640} ",4
All I Want For Christmas Is You ," The Philly Specials, Jordan Mailata ", A Philly Special Christmas Special  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273658c2550a08d95c7f23b4a57', 'width': 640} ",4
Poison Ivy , Tory Lanez , Alone at Prom (Deluxe)  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734048d1ba8aa549c822504e03', 'width': 640} ",3
‘87 Stingray , Tory Lanez , Alone at Prom (Deluxe)  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734048d1ba8aa549c822504e03', 'width': 640} ",3
Far , SZA , SOS  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1', 'width': 640} ",3
"GONE, GONE / THANK YOU "," Tyler, The Creator ", IGOR  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737005885df706891a3c182a57', 'width': 640} ",3
Novacane , Frank Ocean , Novacane  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27359a428dc7ef8e0c12b0fe18a', 'width': 640} ",3
Awkward , SZA , Ctrl (Deluxe)  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2731882add8fd275c04e322027d', 'width': 640} ",3
La La La ," Naughty Boy, Sam Smith ", La La La  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739213b0453a98f037f2230f3e', 'width': 640} ",3
HAS A HEART , Katy Perry , 1432  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ddac71a12622bdc7e9d3e795', 'width': 640} ",3
One Time , Justin Bieber , My World  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737c3bb9f74a98f60bdda6c9a7', 'width': 640} ",3
ss , Ken Carson , A Great Chaos (Deluxe)  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2733b494c1b464d41ef641de442', 'width': 640} ",3
Guilty as Sin? , Taylor Swift , THE TORTURED POETS DEPARTMENT  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735076e4160d018e378f488c33', 'width': 640} ",3
NIRVANA , Katy Perry , 1432  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ddac71a12622bdc7e9d3e795', 'width': 640} ",3
Maria , Justin Bieber , Believe (Deluxe Edition)  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736c20c4638a558132ba95bc39', 'width': 640} ",3
Nobody Gets Me , SZA , SOS  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1', 'width': 640} ",3
Hurts Me ," Tory Lanez, Trippie Redd, Yoko Gold ", Alone at Prom (Deluxe)  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734048d1ba8aa549c822504e03', 'width': 640} ",3
ROCKSTAR P , Baby Keem , DIE FOR MY BITCH  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273683757f1fd40a7f7ef64bec1', 'width': 640} ",3
BMF , SZA , SOS Deluxe: LANA  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737f5a318e3ff35defa8d0e4af', 'width': 640} ",3
Another Life , SZA , SOS Deluxe: LANA  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737f5a318e3ff35defa8d0e4af', 'width': 640} ",3
Out Of Town Girl , Justin Bieber , Believe (Deluxe Edition)  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736c20c4638a558132ba95bc39', 'width': 640} ",3
Secrets , OneRepublic , Waking Up  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27377a7bd558d81172446e525bb', 'width': 640} ",3
ALL RED , Playboi Carti , ALL RED  ,"  {'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ca15942c726ec9c39796435e', 'width': 640} ",3
